LOG CRIADO EM: 8/10/2014 21:17:38
ENVIANDO PROGRAMAÇÃO:
022D01FF31FFFFFF3100000000FFFFFFFB7F0328 --><-- ACK
022E01FF32FFFFFF3200000000FFFFFFFB7F032B --><-- ACK
022F01FF33FFFFFF3300000000FFFFFFFB7F032A --><-- ACK
023001FF34FFFFFF3400000000FFFFFFFB7F0335 --><-- ACK
023101FF35FFFFFF3500000000FFFFFFFB7F0334 --><-- ACK
023201FF36FFFFFF3600000000FFFFFFFB7F0337 --><-- ACK
023301FF37FFFFFF3700000000FFFFFFFB7F0336 --><-- ACK
023401FF38FFFFFF3800000000FFFFFFFB7F0331 --><-- ACK
023501FF39FFFFFF3900000000FFFFFFFB7F0330 --><-- ACK
023601FF40FFFFFF4000000000FFFFFFFB7F0333 --><-- ACK
023701FF41FFFFFF4100000000FFFFFFFB7F0332 --><-- ACK
023801FF42FFFFFF4200000000FFFFFFFB7F033D --><-- ACK
023901FF43FFFFFF4300000000FFFFFFFB7F033C --><-- ACK
023A01FF44FFFFFF4400000000FFFFFFFB7F033F --><-- ACK
023B01FF45FFFFFF4500000000FFFFFFFB7F033E --><-- ACK
023C01FF46FFFFFF4600000000FFFFFFFB7F0339 --><-- ACK
023D01FF47FFFFFF4700000000FFFFFFFB7F0338 --><-- ACK
023E01FF48FFFFFF4800000000FFFFFFFB7F033B --><-- ACK
023F01FF49FFFFFF4900000000FFFFFFFB7F033A --><-- ACK
024001FF50FFFFFF5000000000FFFFFFFB7F0345 --><-- ACK
024101FF51FFFFFF5100000000FFFFFFFB7F0344 --><-- ACK
024201FF52FFFFFF5200000000FFFFFFFB7F0347 --><-- ACK
024301FF53FFFFFF5300000000FFFFFFFB7F0346 --><-- ACK
024401FF54FFFFFF5400000000FFFFFFFB7F0341 --><-- ACK
024501FF55FFFFFF5500000000FFFFFFFB7F0340 --><-- ACK
024601FF56FFFFFF5600000000FFFFFFFB7F0343 --><-- ACK
024701FF57FFFFFF5700000000FFFFFFFB7F0342 --><-- ACK
024801FF58FFFFFF5800000000FFFFFFFB7F034D --><-- ACK
024901FF59FFFFFF5900000000FFFFFFFB7F034C --><-- ACK
024A01FF60FFFFFF6000000000FFFFFFFB7F034F --><-- ACK
024B01FF61FFFFFF6100000000FFFFFFFB7F034E --><-- ACK
024C01FF62FFFFFF6200000000FFFFFFFB7F0349 --><-- ACK
024D01FF63FFFFFF6300000000FFFFFFFB7F0348 --><-- ACK
024E01FF64FFFFFF6400000000FFFFFFFB7F034B --><-- ACK
024F01FF65FFFFFF6500000000FFFFFFFB7F034A --><-- ACK
025001FF66FFFFFF6600000000FFFFFFFB7F0355 --><-- ACK
025101FF67FFFFFF6700000000FFFFFFFB7F0354 --><-- ACK
025201FF68FFFFFF6800000000FFFFFFFB7F0357 --><-- ACK
025301FF69FFFFFF6900000000FFFFFFFB7F0356 --><-- ACK
025401FF70FFFFFF7000000000FFFFFFFB7F0351 --><-- ACK
025501FF71FFFFFF7100000000FFFFFFFB7F0350 --><-- ACK
025601FF72FFFFFF7200000000FFFFFFFB7F0353 --><-- ACK
025701FF73FFFFFF7300000000FFFFFFFB7F0352 --><-- ACK
025801FF74FFFFFF7400000000FFFFFFFB7F035D --><-- ACK
025901FF75FFFFFF7500000000FFFFFFFB7F035C --><-- ACK
025A01FF76FFFFFF7600000000FFFFFFFB7F035F --><-- ACK
025B01FF77FFFFFF7700000000FFFFFFFB7F035E --><-- ACK
025C01FF78FFFFFF7800000000FFFFFFFB7F0359 --><-- ACK
025D01FF79FFFFFF7900000000FFFFFFFB7F0358 --><-- ACK
025E01FF80FFFFFF8000000000FFFFFFFB7F035B --><-- ACK
025F01FF81FFFFFF8100000000FFFFFFFB7F035A --><-- ACK
026001FF82FFFFFF8200000000FFFFFFFB7F0365 --><-- ACK
026101FF83FFFFFF8300000000FFFFFFFB7F0364 --><-- ACK
026201FF84FFFFFF8400000000FFFFFFFB7F0367 --><-- ACK
026301FF85FFFFFF8500000000FFFFFFFB7F0366 --><-- ACK
026401FF86FFFFFF8600000000FFFFFFFB7F0361 --><-- ACK
026501FF87FFFFFF8700000000FFFFFFFB7F0360 --><-- ACK
026601FF88FFFFFF8800000000FFFFFFFB7F0363 --><-- ACK
026701FF89FFFFFF8900000000FFFFFFFB7F0362 --><-- ACK
026801FF90FFFFFF9000000000FFFFFFFB7F036D --><-- ACK
026901FF91FFFFFF9100000000FFFFFFFB7F036C --><-- ACK
026A01FF92FFFFFF9200000000FFFFFFFB7F036F --><-- ACK
026B01FF93FFFFFF9300000000FFFFFFFB7F036E --><-- ACK
026C01FF94FFFFFF9400000000FFFFFFFB7F0369 --><-- ACK
026D01FF95FFFFFF9500000000FFFFFFFB7F0368 --><-- ACK
026E01FF96FFFFFF9600000000FFFFFFFB7F036B --><-- ACK
026F01FF97FFFFFF9700000000FFFFFFFB7F036A --><-- ACK
027001FF98FFFFFF9800000000FFFFFFFB7F0375 --><-- ACK
027101FF99FFFFFF9900000000FFFFFFFB7F0374 --><-- ACK
027201F100FFFFF10000000000FFFFFFFB7F0377 --><-- ACK
027301F101FFFFF10100000000FFFFFFFB7F0376 --><-- ACK
027401F102FFFFF10200000000FFFFFFFB7F0371 --><-- ACK
027501F103FFFFF10300000000FFFFFFFB7F0370 --><-- ACK
027601F104FFFFF10400000000FFFFFFFB7F0373 --><-- ACK
027701F105FFFFF10500000000FFFFFFFB7F0372 --><-- ACK
027801F106FFFFF10600000000FFFFFFFB7F037D --><-- ACK
027901F107FFFFF10700000000FFFFFFFB7F037C --><-- ACK
027A01F108FFFFF10800000000FFFFFFFB7F037F --><-- ACK
027B01F109FFFFF10900000000FFFFFFFB7F037E --><-- ACK
027C01F110FFFFF11000000000FFFFFFFB7F0379 --><-- ACK
027D01F111FFFFF11100000000FFFFFFFB7F0378 --><-- ACK
027E01F112FFFFF11200000000FFFFFFFB7F037B --><-- ACK
027F01F113FFFFF11300000000FFFFFFFB7F037A --><-- ACK
028001F114FFFFF11400000000FFFFFFFB7F0385 --><-- ACK
028101F115FFFFF11500000000FFFFFFFB7F0384 --><-- ACK
028201F116FFFFF11600000000FFFFFFFB7F0387 --><-- ACK
028301F117FFFFF11700000000FFFFFFFB7F0386 --><-- ACK
028401F118FFFFF11800000000FFFFFFFB7F0381 --><-- ACK
028501F119FFFFF11900000000FFFFFFFB7F0380 --><-- ACK
028601F120FFFFF12000000000FFFFFFFB7F0383 --><-- ACK
028701F121FFFFF12100000000FFFFFFFB7F0382 --><-- ACK
028801F122FFFFF12200000000FFFFFFFB7F038D --><-- ACK
028901F123FFFFF12300000000FFFFFFFB7F038C --><-- ACK
028A01F124FFFFF12400000000FFFFFFFB7F038F --><-- ACK
028B01F125FFFFF12500000000FFFFFFFB7F038E --><-- ACK
028C01F126FFFFF12600000000FFFFFFFB7F0389 --><-- ACK
028D01F127FFFFF12700000000FFFFFFFB7F0388 --><-- ACK
028E01F128FFFFF12800000000FFFFFFFB7F038B --><-- ACK
028F01F129FFFFF12900000000FFFFFFFB7F038A --><-- ACK
029001F130FFFFF13000000000FFFFFFFB7F0395 --><-- ACK
029101F131FFFFF13100000000FFFFFFFB7F0394 --><-- ACK
029201F132FFFFF13200000000FFFFFFFB7F0397 --><-- ACK
029301F133FFFFF13300000000FFFFFFFB7F0396 --><-- ACK
029401F134FFFFF13400000000FFFFFFFB7F0391 --><-- ACK
029501F135FFFFF13500000000FFFFFFFB7F0390 --><-- ACK
029601F136FFFFF13600000000FFFFFFFB7F0393 --><-- ACK
029701F137FFFFF13700000000FFFFFFFB7F0392 --><-- ACK
029801F138FFFFF13800000000FFFFFFFB7F039D --><-- ACK
029901F139FFFFF13900000000FFFFFFFB7F039C --><-- ACK
029A01F140FFFFF14000000000FFFFFFFB7F039F --><-- ACK
029B01F141FFFFF14100000000FFFFFFFB7F039E --><-- ACK
029C01F142FFFFF14200000000FFFFFFFB7F0399 --><-- ACK
029D01F143FFFFF14300000000FFFFFFFB7F0398 --><-- ACK
029E01F144FFFFF14400000000FFFFFFFB7F039B --><-- ACK
029F01F145FFFFF14500000000FFFFFFFB7F039A --><-- ACK
02A001F146FFFFF14600000000FFFFFFFB7F03A5 --><-- ACK
02A101F147FFFFF14700000000FFFFFFFB7F03A4 --><-- ACK
02A201F148FFFFF14800000000FFFFFFFB7F03A7 --><-- ACK
02A301F149FFFFF14900000000FFFFFFFB7F03A6 --><-- ACK
02A401F150FFFFF15000000000FFFFFFFB7F03A1 --><-- ACK
02A501F151FFFFF15100000000FFFFFFFB7F03A0 --><-- ACK
02A601F152FFFFF15200000000FFFFFFFB7F03A3 --><-- ACK
02A701F153FFFFF15300000000FFFFFFFB7F03A2 --><-- ACK
02A801F154FFFFF15400000000FFFFFFFB7F03AD --><-- ACK
02A901F155FFFFF15500000000FFFFFFFB7F03AC --><-- ACK
02AA01F156FFFFF15600000000FFFFFFFB7F03AF --><-- ACK
02AB01F157FFFFF15700000000FFFFFFFB7F03AE --><-- ACK
02AC01F158FFFFF15800000000FFFFFFFB7F03A9 --><-- ACK
02AD01F159FFFFF15900000000FFFFFFFB7F03A8 --><-- ACK
02AE01F160FFFFF16000000000FFFFFFFB7F03AB --><-- ACK
02AF01F161FFFFF16100000000FFFFFFFB7F03AA --><-- ACK
02B001F162FFFFF16200000000FFFFFFFB7F03B5 --><-- ACK
02B101F163FFFFF16300000000FFFFFFFB7F03B4 --><-- ACK
02B201F164FFFFF16400000000FFFFFFFB7F03B7 --><-- ACK
02B301F165FFFFF16500000000FFFFFFFB7F03B6 --><-- ACK
02B401F166FFFFF16600000000FFFFFFFB7F03B1 --><-- ACK
02B501F167FFFFF16700000000FFFFFFFB7F03B0 --><-- ACK
02B601F168FFFFF16800000000FFFFFFFB7F03B3 --><-- ACK
02B701F169FFFFF16900000000FFFFFFFB7F03B2 --><-- ACK
02B801F170FFFFF17000000000FFFFFFFB7F03BD --><-- ACK
02B901F171FFFFF17100000000FFFFFFFB7F03BC --><-- ACK
02BA01F172FFFFF17200000000FFFFFFFB7F03BF --><-- ACK
02BB01F173FFFFF17300000000FFFFFFFB7F03BE --><-- ACK
02BC01F174FFFFF17400000000FFFFFFFB7F03B9 --><-- ACK
02BD01F175FFFFF17500000000FFFFFFFB7F03B8 --><-- ACK
02BE01F176FFFFF17600000000FFFFFFFB7F03BB --><-- ACK
02BF01F177FFFFF17700000000FFFFFFFB7F03BA --><-- ACK
02C001F178FFFFF17800000000FFFFFFFB7F03C5 --><-- ACK
02C101F179FFFFF17900000000FFFFFFFB7F03C4 --><-- ACK
02C201F180FFFFF18000000000FFFFFFFB7F03C7 --><-- ACK
02C301F181FFFFF18100000000FFFFFFFB7F03C6 --><-- ACK
02C401F182FFFFF18200000000FFFFFFFB7F03C1 --><-- ACK
02C501F183FFFFF18300000000FFFFFFFB7F03C0 --><-- ACK
02C601F184FFFFF18400000000FFFFFFFB7F03C3 --><-- ACK
02C701F185FFFFF18500000000FFFFFFFB7F03C2 --><-- ACK
02C801F186FFFFF18600000000FFFFFFFB7F03CD --><-- ACK
02C901F187FFFFF18700000000FFFFFFFB7F03CC --><-- ACK
02CA01F188FFFFF18800000000FFFFFFFB7F03CF --><-- ACK
02CB01F189FFFFF18900000000FFFFFFFB7F03CE --><-- ACK
02CC01F190FFFFF19000000000FFFFFFFB7F03C9 --><-- ACK
02CD01F191FFFFF19100000000FFFFFFFB7F03C8 --><-- ACK
02CE01F192FFFFF19200000000FFFFFFFB7F03CB --><-- ACK
02CF01F193FFFFF19300000000FFFFFFFB7F03CA --><-- ACK
02D001F194FFFFF19400000000FFFFFFFB7F03D5 --><-- ACK
02D101F195FFFFF19500000000FFFFFFFB7F03D4 --><-- ACK
02D201F196FFFFF19600000000FFFFFFFB7F03D7 --><-- ACK
02D301F197FFFFF19700000000FFFFFFFB7F03D6 --><-- ACK
02D401F198FFFFF19800000000FFFFFFFB7F03D1 --><-- ACK
02D501F199FFFFF19900000000FFFFFFFB7F03D0 --><-- ACK
02D601F200FFFFF20000000000FFFFFFFB7F03D3 --><-- ACK
02D701F201FFFFF20100000000FFFFFFFB7F03D2 --><-- ACK
02D801F202FFFFF20200000000FFFFFFFB7F03DD --><-- ACK
02D901F203FFFFF20300000000FFFFFFFB7F03DC --><-- ACK
02DA01F204FFFFF20400000000FFFFFFFB7F03DF --><-- ACK
02DB01F205FFFFF20500000000FFFFFFFB7F03DE --><-- ACK
02DC01F206FFFFF20600000000FFFFFFFB7F03D9 --><-- ACK
02DD01F207FFFFF20700000000FFFFFFFB7F03D8 --><-- ACK
02DE01F208FFFFF20800000000FFFFFFFB7F03DB --><-- ACK
02DF01F209FFFFF20900000000FFFFFFFB7F03DA --><-- ACK
02E001F210FFFFF21000000000FFFFFFFB7F03E5 --><-- ACK
02E101F211FFFFF21100000000FFFFFFFB7F03E4 --><-- ACK
02E201F212FFFFF21200000000FFFFFFFB7F03E7 --><-- ACK
02E301F213FFFFF21300000000FFFFFFFB7F03E6 --><-- ACK
02E401F214FFFFF21400000000FFFFFFFB7F03E1 --><-- ACK
02E501F215FFFFF21500000000FFFFFFFB7F03E0 --><-- ACK
02E601F216FFFFF21600000000FFFFFFFB7F03E3 --><-- ACK
02E701F217FFFFF21700000000FFFFFFFB7F03E2 --><-- ACK
02E801F218FFFFF21800000000FFFFFFFB7F03ED --><-- ACK
02E901F219FFFFF21900000000FFFFFFFB7F03EC --><-- ACK
02EA01F220FFFFF22000000000FFFFFFFB7F03EF --><-- ACK
02EB01F221FFFFF22100000000FFFFFFFB7F03EE --><-- ACK
02EC01F222FFFFF22200000000FFFFFFFB7F03E9 --><-- ACK
02ED01F223FFFFF22300000000FFFFFFFB7F03E8 --><-- ACK
02EE01F224FFFFF22400000000FFFFFFFB7F03EB --><-- ACK
02EF01F225FFFFF22500000000FFFFFFFB7F03EA --><-- ACK
02F001F226FFFFF22600000000FFFFFFFB7F03F5 --><-- ACK
02F101F227FFFFF22700000000FFFFFFFB7F03F4 --><-- ACK
02F201F228FFFFF22800000000FFFFFFFB7F03F7 --><-- ACK
02F301F229FFFFF22900000000FFFFFFFB7F03F6 --><-- ACK
02F401F230FFFFF23000000000FFFFFFFB7F03F1 --><-- ACK
02F501F231FFFFF23100000000FFFFFFFB7F03F0 --><-- ACK
02F601F232FFFFF23200000000FFFFFFFB7F03F3 --><-- ACK
02F701F233FFFFF23300000000FFFFFFFB7F03F2 --><-- ACK
02F801F234FFFFF23400000000FFFFFFFB7F03FD --><-- ACK
02F901F235FFFFF23500000000FFFFFFFB7F03FC --><-- ACK
02FA01F236FFFFF23600000000FFFFFFFB7F03FF --><-- ACK
02FB01F237FFFFF23700000000FFFFFFFB7F03FE --><-- ACK
02FC01F238FFFFF23800000000FFFFFFFB7F03F9 --><-- ACK
02FD01F239FFFFF23900000000FFFFFFFB7F03F8 --><-- ACK
02FE01F240FFFFF24000000000FFFFFFFB7F03FB --><-- ACK
02FF01F241FFFFF24100000000FFFFFFFB7F03FA --><-- ACK
020001F242FFFFF24200000000FFFFFFFB7F0305 --><-- ACK
020101F243FFFFF24300000000FFFFFFFB7F0304 --><-- ACK
020201F244FFFFF24400000000FFFFFFFB7F0307 --><-- ACK
020301F245FFFFF24500000000FFFFFFFB7F0306 --><-- ACK
020401F246FFFFF24600000000FFFFFFFB7F0301 --><-- ACK
020501F247FFFFF24700000000FFFFFFFB7F0300 --><-- ACK
020601F248FFFFF24800000000FFFFFFFB7F0303 --><-- ACK
020701F249FFFFF24900000000FFFFFFFB7F0302 --><-- ACK
020801F250FFFFF25000000000FFFFFFFB7F030D --><-- ACK
020901F251FFFFF25100000000FFFFFFFB7F030C --><-- ACK
020A01F252FFFFF25200000000FFFFFFFB7F030F --><-- ACK
020B01F253FFFFF25300000000FFFFFFFB7F030E --><-- ACK
020C01F254FFFFF25400000000FFFFFFFB7F0309 --><-- ACK
020D01F255FFFFF25500000000FFFFFFFB7F0308 --><-- ACK
020E01F256FFFFF25600000000FFFFFFFB7F030B --><-- ACK
020F01F257FFFFF25700000000FFFFFFFB7F030A --><-- ACK
021001F258FFFFF25800000000FFFFFFFB7F0315 --><-- ACK
021101F259FFFFF25900000000FFFFFFFB7F0314 --><-- ACK
021201F260FFFFF26000000000FFFFFFFB7F0317 --><-- ACK
021301F261FFFFF26100000000FFFFFFFB7F0316 --><-- ACK
021401F262FFFFF26200000000FFFFFFFB7F0311 --><-- ACK
021501F263FFFFF26300000000FFFFFFFB7F0310 --><-- ACK
021601F264FFFFF26400000000FFFFFFFB7F0313 --><-- ACK
021701F265FFFFF26500000000FFFFFFFB7F0312 --><-- ACK
021801F266FFFFF26600000000FFFFFFFB7F031D --><-- ACK
021901F267FFFFF26700000000FFFFFFFB7F031C --><-- ACK
021A01F268FFFFF26800000000FFFFFFFB7F031F --><-- ACK
021B01F269FFFFF26900000000FFFFFFFB7F031E --><-- ACK
021C01F270FFFFF27000000000FFFFFFFB7F0319 --><-- ACK
021D01F271FFFFF27100000000FFFFFFFB7F0318 --><-- ACK
021E01F272FFFFF27200000000FFFFFFFB7F031B --><-- ACK
021F01F273FFFFF27300000000FFFFFFFB7F031A --><-- ACK
022001F274FFFFF27400000000FFFFFFFB7F0325 --><-- ACK
022101F275FFFFF27500000000FFFFFFFB7F0324 --><-- ACK
022201F276FFFFF27600000000FFFFFFFB7F0327 --><-- ACK
022301F277FFFFF27700000000FFFFFFFB7F0326 --><-- ACK
022401F278FFFFF27800000000FFFFFFFB7F0321 --><-- ACK
022501F279FFFFF27900000000FFFFFFFB7F0320 --><-- ACK
022601F280FFFFF28000000000FFFFFFFB7F0323 --><-- ACK
022701F281FFFFF28100000000FFFFFFFB7F0322 --><-- ACK
022801F282FFFFF28200000000FFFFFFFB7F032D --><-- ACK
022901F283FFFFF28300000000FFFFFFFB7F032C --><-- ACK
022A01F284FFFFF28400000000FFFFFFFB7F032F --><-- ACK
022B01F285FFFFF28500000000FFFFFFFB7F032E --><-- ACK
022C01F286FFFFF28600000000FFFFFFFB7F0329 --><-- ACK
022D01F287FFFFF28700000000FFFFFFFB7F0328 --><-- ACK
022E01F288FFFFF28800000000FFFFFFFB7F032B --><-- ACK
022F01F289FFFFF28900000000FFFFFFFB7F032A --><-- ACK
023001F290FFFFF29000000000FFFFFFFB7F0335 --><-- ACK
023101F291FFFFF29100000000FFFFFFFB7F0334 --><-- ACK
023201F292FFFFF29200000000FFFFFFFB7F0337 --><-- ACK
023301F293FFFFF29300000000FFFFFFFB7F0336 --><-- ACK
023401F294FFFFF29400000000FFFFFFFB7F0331 --><-- ACK
023501F295FFFFF29500000000FFFFFFFB7F0330 --><-- ACK
023601F296FFFFF29600000000FFFFFFFB7F0333 --><-- ACK
023701F297FFFFF29700000000FFFFFFFB7F0332 --><-- ACK
023801F298FFFFF29800000000FFFFFFFB7F033D --><-- ACK
023901F299FFFFF29900000000FFFFFFFB7F033C --><-- ACK
023A01F300FFFFF30000000000FFFFFFFB7F033F --><-- ACK
023B01F301FFFFF30100000000FFFFFFFB7F033E --><-- ACK
023C01F302FFFFF30200000000FFFFFFFB7F0339 --><-- ACK
023D01F303FFFFF30300000000FFFFFFFB7F0338 --><-- ACK
023E01F304FFFFF30400000000FFFFFFFB7F033B --><-- ACK
023F01F305FFFFF30500000000FFFFFFFB7F033A --><-- ACK
024001F306FFFFF30600000000FFFFFFFB7F0345 --><-- ACK
024101F307FFFFF30700000000FFFFFFFB7F0344 --><-- ACK
024201F308FFFFF30800000000FFFFFFFB7F0347 --><-- ACK
024301F309FFFFF30900000000FFFFFFFB7F0346 --><-- ACK
024401F310FFFFF31000000000FFFFFFFB7F0341 --><-- ACK
024501F311FFFFF31100000000FFFFFFFB7F0340 --><-- ACK
024601F312FFFFF31200000000FFFFFFFB7F0343 --><-- ACK
024701F313FFFFF31300000000FFFFFFFB7F0342 --><-- ACK
024801F314FFFFF31400000000FFFFFFFB7F034D --><-- ACK
024901F315FFFFF31500000000FFFFFFFB7F034C --><-- ACK
024A01F316FFFFF31600000000FFFFFFFB7F034F --><-- ACK
024B01F317FFFFF31700000000FFFFFFFB7F034E --><-- ACK
024C01F318FFFFF31800000000FFFFFFFB7F0349 --><-- ACK
024D01F319FFFFF31900000000FFFFFFFB7F0348 --><-- ACK
024E01F320FFFFF32000000000FFFFFFFB7F034B --><-- ACK
024F01F321FFFFF32100000000FFFFFFFB7F034A --><-- ACK
025001F322FFFFF32200000000FFFFFFFB7F0355 --><-- ACK
025101F323FFFFF32300000000FFFFFFFB7F0354 --><-- ACK
025201F324FFFFF32400000000FFFFFFFB7F0357 --><-- ACK
025301F325FFFFF32500000000FFFFFFFB7F0356 --><-- ACK
025401F326FFFFF32600000000FFFFFFFB7F0351 --><-- ACK
025501F327FFFFF32700000000FFFFFFFB7F0350 --><-- ACK
025601F328FFFFF32800000000FFFFFFFB7F0353 --><-- ACK
025701F329FFFFF32900000000FFFFFFFB7F0352 --><-- ACK
025801F330FFFFF33000000000FFFFFFFB7F035D --><-- ACK
025901F331FFFFF33100000000FFFFFFFB7F035C --><-- ACK
025A01F332FFFFF33200000000FFFFFFFB7F035F --><-- ACK
025B01F333FFFFF33300000000FFFFFFFB7F035E --><-- ACK
025C01F334FFFFF33400000000FFFFFFFB7F0359 --><-- ACK
025D01F335FFFFF33500000000FFFFFFFB7F0358 --><-- ACK
025E01F336FFFFF33600000000FFFFFFFB7F035B --><-- ACK
025F01F337FFFFF33700000000FFFFFFFB7F035A --><-- ACK
026001F338FFFFF33800000000FFFFFFFB7F0365 --><-- ACK
026101F339FFFFF33900000000FFFFFFFB7F0364 --><-- ACK
026201F340FFFFF34000000000FFFFFFFB7F0367 --><-- ACK
026301F341FFFFF34100000000FFFFFFFB7F0366 --><-- ACK
026401F342FFFFF34200000000FFFFFFFB7F0361 --><-- ACK
026501F343FFFFF34300000000FFFFFFFB7F0360 --><-- ACK
026601F344FFFFF34400000000FFFFFFFB7F0363 --><-- ACK
026701F345FFFFF34500000000FFFFFFFB7F0362 --><-- ACK
026801F346FFFFF34600000000FFFFFFFB7F036D --><-- ACK
026901F347FFFFF34700000000FFFFFFFB7F036C --><-- ACK
026A01F348FFFFF34800000000FFFFFFFB7F036F --><-- ACK
026B01F349FFFFF34900000000FFFFFFFB7F036E --><-- ACK
026C01F350FFFFF35000000000FFFFFFFB7F0369 --><-- ACK
026D01F351FFFFF35100000000FFFFFFFB7F0368 --><-- ACK
026E01F352FFFFF35200000000FFFFFFFB7F036B --><-- ACK
026F01F353FFFFF35300000000FFFFFFFB7F036A --><-- ACK
027001F354FFFFF35400000000FFFFFFFB7F0375 --><-- ACK
027101F355FFFFF35500000000FFFFFFFB7F0374 --><-- ACK
027201F356FFFFF35600000000FFFFFFFB7F0377 --><-- ACK
027301F357FFFFF35700000000FFFFFFFB7F0376 --><-- ACK
027401F358FFFFF35800000000FFFFFFFB7F0371 --><-- ACK
027501F359FFFFF35900000000FFFFFFFB7F0370 --><-- ACK
027601F360FFFFF36000000000FFFFFFFB7F0373 --><-- ACK
027701F361FFFFF36100000000FFFFFFFB7F0372 --><-- ACK
027801F362FFFFF36200000000FFFFFFFB7F037D --><-- ACK
027901F363FFFFF36300000000FFFFFFFB7F037C --><-- ACK
027A01F364FFFFF36400000000FFFFFFFB7F037F --><-- ACK
027B01F365FFFFF36500000000FFFFFFFB7F037E --><-- ACK
027C01F366FFFFF36600000000FFFFFFFB7F0379 --><-- ACK
027D01F367FFFFF36700000000FFFFFFFB7F0378 --><-- ACK
027E01F368FFFFF36800000000FFFFFFFB7F037B --><-- ACK
027F01F369FFFFF36900000000FFFFFFFB7F037A --><-- ACK
028001F370FFFFF37000000000FFFFFFFB7F0385 --><-- ACK
028101F371FFFFF37100000000FFFFFFFB7F0384 --><-- ACK
028201F372FFFFF37200000000FFFFFFFB7F0387 --><-- ACK
028301F373FFFFF37300000000FFFFFFFB7F0386 --><-- ACK
028401F374FFFFF37400000000FFFFFFFB7F0381 --><-- ACK
028501F375FFFFF37500000000FFFFFFFB7F0380 --><-- ACK
028601F376FFFFF37600000000FFFFFFFB7F0383 --><-- ACK
028701F377FFFFF37700000000FFFFFFFB7F0382 --><-- ACK
028801F378FFFFF37800000000FFFFFFFB7F038D --><-- ACK
028901F379FFFFF37900000000FFFFFFFB7F038C --><-- ACK
028A01F380FFFFF38000000000FFFFFFFB7F038F --><-- ACK
028B01F381FFFFF38100000000FFFFFFFB7F038E --><-- ACK
028C01F382FFFFF38200000000FFFFFFFB7F0389 --><-- ACK
028D01F383FFFFF38300000000FFFFFFFB7F0388 --><-- ACK
028E01F384FFFFF38400000000FFFFFFFB7F038B --><-- ACK
028F01F385FFFFF38500000000FFFFFFFB7F038A --><-- ACK
029001F386FFFFF38600000000FFFFFFFB7F0395 --><-- ACK
029101F387FFFFF38700000000FFFFFFFB7F0394 --><-- ACK
029201F388FFFFF38800000000FFFFFFFB7F0397 --><-- ACK
